,pais,country,regiao,anos,inicio_projeto,anos_contagem,regiao_proj_noano,regiao_proj_acumulados,instituicoes_internacionais_proj_noano,instituicoes_internacionais_proj_acumulados,distancia_2palop,paises_2palop,semelhanca_quali_institucional_icrg,semelhanca_quali_institucional_govint,instituicoes_com_palop
161,Egito,Egypt,África do Norte,2002,0,3.0,0.0,0.0,6.0,6.0,7952.781189484588,Equatorial Guinea;Sao Tome and Principe,0,0,2
162,Egito,Egypt,África do Norte,2003,0,4.0,0.0,0.0,10.0,16.0,7952.781189484588,Equatorial Guinea;Sao Tome and Principe,0,0,2
163,Egito,Egypt,África do Norte,2004,0,5.0,0.0,0.0,14.0,30.0,7952.781189484588,Equatorial Guinea;Sao Tome and Principe,0,0,2
164,Egito,Egypt,África do Norte,2005,0,6.0,0.0,0.0,42.0,72.0,7952.781189484588,Equatorial Guinea;Sao Tome and Principe,0,0,2
165,Egito,Egypt,África do Norte,2006,0,7.0,1.0,1.0,70.0,142.0,7952.781189484588,Equatorial Guinea;Sao Tome and Principe,0,0,2
166,Egito,Egypt,África do Norte,2007,1,8.0,9.0,10.0,115.0,257.0,7952.781189484588,Equatorial Guinea;Sao Tome and Principe,1,0,2
167,Etiópia,Ethiopia,África Oriental,1999,0,0.0,0.0,0.0,0.0,0.0,6829.924825736633,Equatorial Guinea;Angola,0,0,1
168,Etiópia,Ethiopia,África Oriental,2000,0,1.0,0.0,0.0,0.0,0.0,6829.924825736633,Equatorial Guinea;Angola,0,0,1
169,Etiópia,Ethiopia,África Oriental,2001,0,2.0,0.0,0.0,0.0,0.0,6829.924825736633,Equatorial Guinea;Angola,0,0,1
170,Etiópia,Ethiopia,África Oriental,2002,0,3.0,1.0,1.0,5.0,5.0,6829.924825736633,Equatorial Guinea;Angola,0,0,1
171,Etiópia,Ethiopia,África Oriental,2003,0,4.0,1.0,2.0,8.0,13.0,6829.924825736633,Equatorial Guinea;Angola,0,0,1
172,Etiópia,Ethiopia,África Oriental,2004,0,5.0,2.0,4.0,11.0,24.0,6829.924825736633,Equatorial Guinea;Angola,0,0,1
173,Etiópia,Ethiopia,África Oriental,2005,0,6.0,6.0,10.0,35.0,59.0,6829.924825736633,Equatorial Guinea;Angola,0,0,1
174,Etiópia,Ethiopia,África Oriental,2006,0,7.0,12.0,22.0,56.0,115.0,6829.924825736633,Equatorial Guinea;Angola,0,1,1
175,Etiópia,Ethiopia,África Oriental,2007,0,8.0,15.0,37.0,91.0,206.0,6829.924825736633,Equatorial Guinea;Angola,1,1,1
176,Etiópia,Ethiopia,África Oriental,2008,1,9.0,28.0,65.0,118.0,324.0,6829.924825736633,Equatorial Guinea;Angola,1,1,1
177,Gabão,Gabon,África Central,1999,0,0.0,0.0,0.0,0.0,0.0,679.7806902261405,Sao Tome and Principe;Equatorial Guinea,0,0,3
178,Gabão,Gabon,África Central,2000,0,1.0,0.0,0.0,0.0,0.0,679.7806902261405,Sao Tome and Principe;Equatorial Guinea,0,0,3
179,Gabão,Gabon,África Central,2001,0,2.0,0.0,0.0,0.0,0.0,679.7806902261405,Sao Tome and Principe;Equatorial Guinea,0,0,3
180,Gabão,Gabon,África Central,2002,0,3.0,2.0,2.0,7.0,7.0,679.7806902261405,Sao Tome and Principe;Equatorial Guinea,0,0,3
181,Gabão,Gabon,África Central,2003,0,4.0,3.0,5.0,11.0,18.0,679.7806902261405,Sao Tome and Principe;Equatorial Guinea,0,0,3
182,Gabão,Gabon,África Central,2004,1,5.0,3.0,8.0,15.0,33.0,679.7806902261405,Sao Tome and Principe;Equatorial Guinea,1,0,3
183,Gâmbia,Gambia,África Ocidental,1999,0,0.0,0.0,0.0,0.0,0.0,964.2472797161203,Guinea-Bissau;Cape Verde,0,1,3
184,Gâmbia,Gambia,África Ocidental,2000,0,1.0,0.0,0.0,0.0,0.0,964.2472797161203,Guinea-Bissau;Cape Verde,0,1,3
185,Gâmbia,Gambia,África Ocidental,2001,0,2.0,0.0,0.0,0.0,0.0,964.2472797161203,Guinea-Bissau;Cape Verde,0,1,3
186,Gâmbia,Gambia,África Ocidental,2002,0,3.0,3.0,3.0,8.0,8.0,964.2472797161203,Guinea-Bissau;Cape Verde,0,1,3
187,Gâmbia,Gambia,África Ocidental,2003,0,4.0,5.0,8.0,14.0,22.0,964.2472797161203,Guinea-Bissau;Cape Verde,0,1,3
188,Gâmbia,Gambia,África Ocidental,2004,0,5.0,7.0,15.0,20.0,42.0,964.2472797161203,Guinea-Bissau;Cape Verde,0,1,3
189,Gâmbia,Gambia,África Ocidental,2005,0,6.0,20.0,35.0,54.0,96.0,964.2472797161203,Guinea-Bissau;Cape Verde,0,0,3
190,Gâmbia,Gambia,África Ocidental,2006,1,7.0,26.0,61.0,89.0,185.0,964.2472797161203,Guinea-Bissau;Cape Verde,0,0,3
191,Guiné,Guinea,África Ocidental,1999,0,0.0,0.0,0.0,0.0,0.0,1296.1479435704946,Guinea-Bissau;Cape Verde,0,0,2
192,Guiné,Guinea,África Ocidental,2000,0,1.0,0.0,0.0,0.0,0.0,1296.1479435704946,Guinea-Bissau;Cape Verde,0,0,2
193,Guiné,Guinea,África Ocidental,2001,0,2.0,0.0,0.0,0.0,0.0,1296.1479435704946,Guinea-Bissau;Cape Verde,0,0,2
194,Guiné,Guinea,África Ocidental,2002,0,3.0,3.0,3.0,7.0,7.0,1296.1479435704946,Guinea-Bissau;Cape Verde,0,0,2
195,Guiné,Guinea,África Ocidental,2003,0,4.0,5.0,8.0,12.0,19.0,1296.1479435704946,Guinea-Bissau;Cape Verde,0,0,2
196,Guiné,Guinea,África Ocidental,2004,0,5.0,7.0,15.0,17.0,36.0,1296.1479435704946,Guinea-Bissau;Cape Verde,0,0,2
197,Guiné,Guinea,África Ocidental,2005,0,6.0,20.0,35.0,47.0,83.0,1296.1479435704946,Guinea-Bissau;Cape Verde,0,0,2
198,Guiné,Guinea,África Ocidental,2006,0,7.0,26.0,61.0,72.0,155.0,1296.1479435704946,Guinea-Bissau;Cape Verde,0,0,2
199,Guiné,Guinea,África Ocidental,2007,0,8.0,39.0,100.0,111.0,266.0,1296.1479435704946,Guinea-Bissau;Cape Verde,1,0,2
200,Guiné,Guinea,África Ocidental,2008,1,9.0,50.0,150.0,142.0,408.0,1296.1479435704946,Guinea-Bissau;Cape Verde,1,0,2
212,Libéria,Liberia,África Ocidental,1999,0,0.0,0.0,0.0,0.0,0.0,2498.7112310782313,Guinea-Bissau;Cape Verde,0,0,2
213,Libéria,Liberia,África Ocidental,2000,0,1.0,0.0,0.0,0.0,0.0,2498.7112310782313,Guinea-Bissau;Cape Verde,1,0,2
214,Libéria,Liberia,África Ocidental,2001,0,2.0,0.0,0.0,0.0,0.0,2498.7112310782313,Guinea-Bissau;Cape Verde,1,0,2
215,Libéria,Liberia,África Ocidental,2002,0,3.0,3.0,3.0,7.0,7.0,2498.7112310782313,Guinea-Bissau;Cape Verde,0,0,2
216,Libéria,Liberia,África Ocidental,2003,0,4.0,5.0,8.0,12.0,19.0,2498.7112310782313,Guinea-Bissau;Cape Verde,0,0,2
217,Libéria,Liberia,África Ocidental,2004,0,5.0,7.0,15.0,17.0,36.0,2498.7112310782313,Guinea-Bissau;Cape Verde,1,0,2
218,Libéria,Liberia,África Ocidental,2005,1,6.0,20.0,35.0,47.0,83.0,2498.7112310782313,Guinea-Bissau;Cape Verde,0,0,2
219,Serra Leoa,Sierra Leone,África Ocidental,1999,0,0.0,0.0,0.0,0.0,0.0,1773.9204016776182,Guinea-Bissau;Cape Verde,1,1,3
220,Serra Leoa,Sierra Leone,África Ocidental,2000,0,1.0,0.0,0.0,0.0,0.0,1773.9204016776182,Guinea-Bissau;Cape Verde,1,1,3
221,Serra Leoa,Sierra Leone,África Ocidental,2001,0,2.0,0.0,0.0,0.0,0.0,1773.9204016776182,Guinea-Bissau;Cape Verde,1,0,3
222,Serra Leoa,Sierra Leone,África Ocidental,2002,0,3.0,3.0,3.0,8.0,8.0,1773.9204016776182,Guinea-Bissau;Cape Verde,1,0,3
223,Serra Leoa,Sierra Leone,África Ocidental,2003,0,4.0,5.0,8.0,14.0,22.0,1773.9204016776182,Guinea-Bissau;Cape Verde,1,1,3
224,Serra Leoa,Sierra Leone,África Ocidental,2004,0,5.0,7.0,15.0,20.0,42.0,1773.9204016776182,Guinea-Bissau;Cape Verde,1,1,3
225,Serra Leoa,Sierra Leone,África Ocidental,2005,0,6.0,20.0,35.0,54.0,96.0,1773.9204016776182,Guinea-Bissau;Cape Verde,1,1,3
226,Serra Leoa,Sierra Leone,África Ocidental,2006,0,7.0,26.0,61.0,89.0,185.0,1773.9204016776182,Guinea-Bissau;Cape Verde,1,1,3
227,Serra Leoa,Sierra Leone,África Ocidental,2007,0,8.0,39.0,100.0,137.0,322.0,1773.9204016776182,Guinea-Bissau;Cape Verde,0,0,3
228,Serra Leoa,Sierra Leone,África Ocidental,2008,0,9.0,50.0,150.0,166.0,488.0,1773.9204016776182,Guinea-Bissau;Cape Verde,0,0,3
229,Serra Leoa,Sierra Leone,África Ocidental,2009,1,10.0,50.0,200.0,157.0,645.0,1773.9204016776182,Guinea-Bissau;Cape Verde,0,0,3
230,Malaui,Malawi,África Oriental,1999,0,0.0,0.0,0.0,0.0,0.0,3648.741375512087,Mozambique;Angola,0,0,2
231,Malaui,Malawi,África Oriental,2000,0,1.0,0.0,0.0,0.0,0.0,3648.741375512087,Mozambique;Angola,0,0,2
232,Malaui,Malawi,África Oriental,2001,0,2.0,0.0,0.0,0.0,0.0,3648.741375512087,Mozambique;Angola,0,0,2
233,Malaui,Malawi,África Oriental,2002,0,3.0,1.0,1.0,7.0,7.0,3648.741375512087,Mozambique;Angola,0,0,2
234,Malaui,Malawi,África Oriental,2003,0,4.0,1.0,2.0,11.0,18.0,3648.741375512087,Mozambique;Angola,0,0,2
235,Malaui,Malawi,África Oriental,2004,0,5.0,2.0,4.0,14.0,32.0,3648.741375512087,Mozambique;Angola,0,0,2
236,Malaui,Malawi,África Oriental,2005,0,6.0,6.0,10.0,48.0,80.0,3648.741375512087,Mozambique;Angola,0,0,2
237,Malaui,Malawi,África Oriental,2006,0,7.0,12.0,22.0,73.0,153.0,3648.741375512087,Mozambique;Angola,0,0,2
238,Malaui,Malawi,África Oriental,2007,0,8.0,15.0,37.0,117.0,270.0,3648.741375512087,Mozambique;Angola,1,0,2
239,Malaui,Malawi,África Oriental,2008,0,9.0,28.0,65.0,148.0,418.0,3648.741375512087,Mozambique;Angola,1,1,2
240,Malaui,Malawi,África Oriental,2009,1,10.0,25.0,90.0,142.0,560.0,3648.741375512087,Mozambique;Angola,1,1,2
241,Marrocos,Morocco,África do Norte,1999,0,0.0,0.0,0.0,0.0,0.0,5311.987005813705,Guinea-Bissau;Cape Verde,0,0,2
242,Marrocos,Morocco,África do Norte,2000,0,1.0,0.0,0.0,0.0,0.0,5311.987005813705,Guinea-Bissau;Cape Verde,0,0,2
243,Marrocos,Morocco,África do Norte,2001,0,2.0,0.0,0.0,0.0,0.0,5311.987005813705,Guinea-Bissau;Cape Verde,0,0,2
244,Marrocos,Morocco,África do Norte,2002,0,3.0,0.0,0.0,6.0,6.0,5311.987005813705,Guinea-Bissau;Cape Verde,0,0,2
245,Marrocos,Morocco,África do Norte,2003,0,4.0,0.0,0.0,10.0,16.0,5311.987005813705,Guinea-Bissau;Cape Verde,0,0,2
246,Marrocos,Morocco,África do Norte,2004,0,5.0,0.0,0.0,14.0,30.0,5311.987005813705,Guinea-Bissau;Cape Verde,0,0,2
247,Marrocos,Morocco,África do Norte,2005,0,6.0,0.0,0.0,40.0,70.0,5311.987005813705,Guinea-Bissau;Cape Verde,0,0,2
248,Marrocos,Morocco,África do Norte,2006,0,7.0,1.0,1.0,68.0,138.0,5311.987005813705,Guinea-Bissau;Cape Verde,0,0,2
249,Marrocos,Morocco,África do Norte,2007,1,8.0,9.0,10.0,115.0,253.0,5311.987005813705,Guinea-Bissau;Cape Verde,0,0,2
250,Mauritânia,Mauritania,África Ocidental,1999,0,0.0,0.0,0.0,0.0,0.0,1576.0812438823973,Guinea-Bissau;Cape Verde,0,0,2
251,Mauritânia,Mauritania,África Ocidental,2000,0,1.0,0.0,0.0,0.0,0.0,1576.0812438823973,Guinea-Bissau;Cape Verde,0,0,2
252,Mauritânia,Mauritania,África Ocidental,2001,0,2.0,0.0,0.0,0.0,0.0,1576.0812438823973,Guinea-Bissau;Cape Verde,0,0,2
253,Mauritânia,Mauritania,África Ocidental,2002,0,3.0,3.0,3.0,6.0,6.0,1576.0812438823973,Guinea-Bissau;Cape Verde,0,0,2
254,Mauritânia,Mauritania,África Ocidental,2003,0,4.0,5.0,8.0,10.0,16.0,1576.0812438823973,Guinea-Bissau;Cape Verde,0,0,2
255,Mauritânia,Mauritania,África Ocidental,2004,0,5.0,7.0,15.0,14.0,30.0,1576.0812438823973,Guinea-Bissau;Cape Verde,0,0,2
256,Mauritânia,Mauritania,África Ocidental,2005,0,6.0,20.0,35.0,40.0,70.0,1576.0812438823973,Guinea-Bissau;Cape Verde,0,0,2
257,Mauritânia,Mauritania,África Ocidental,2006,0,7.0,26.0,61.0,68.0,138.0,1576.0812438823973,Guinea-Bissau;Cape Verde,0,0,2
258,Mauritânia,Mauritania,África Ocidental,2007,0,8.0,39.0,100.0,115.0,253.0,1576.0812438823973,Guinea-Bissau;Cape Verde,0,0,2
259,Mauritânia,Mauritania,África Ocidental,2008,0,9.0,50.0,150.0,129.0,382.0,1576.0812438823973,Guinea-Bissau;Cape Verde,0,1,2
260,Mauritânia,Mauritania,África Ocidental,2009,1,10.0,50.0,200.0,128.0,510.0,1576.0812438823973,Guinea-Bissau;Cape Verde,0,1,2
261,Nigéria,Nigeria,África Ocidental,1999,0,0.0,0.0,0.0,0.0,0.0,1621.2780494088822,Equatorial Guinea;Sao Tome and Principe,1,1,3
262,Nigéria,Nigeria,África Ocidental,2000,0,1.0,0.0,0.0,0.0,0.0,1621.2780494088822,Equatorial Guinea;Sao Tome and Principe,1,1,3
263,Nigéria,Nigeria,África Ocidental,2001,0,2.0,0.0,0.0,0.0,0.0,1621.2780494088822,Equatorial Guinea;Sao Tome and Principe,1,1,3
264,Nigéria,Nigeria,África Ocidental,2002,0,3.0,3.0,3.0,8.0,8.0,1621.2780494088822,Equatorial Guinea;Sao Tome and Principe,0,1,3
265,Nigéria,Nigeria,África Ocidental,2003,0,4.0,5.0,8.0,14.0,22.0,1621.2780494088822,Equatorial Guinea;Sao Tome and Principe,0,1,3
266,Nigéria,Nigeria,África Ocidental,2004,0,5.0,7.0,15.0,20.0,42.0,1621.2780494088822,Equatorial Guinea;Sao Tome and Principe,0,1,3
267,Nigéria,Nigeria,África Ocidental,2005,1,6.0,20.0,35.0,54.0,96.0,1621.2780494088822,Equatorial Guinea;Sao Tome and Principe,1,1,3
268,Ruanda,Rwanda,África Oriental,1999,0,0.0,0.0,0.0,0.0,0.0,4461.007288904881,Angola;Equatorial Guinea,0,1,2
269,Ruanda,Rwanda,África Oriental,2000,0,1.0,0.0,0.0,0.0,0.0,4461.007288904881,Angola;Equatorial Guinea,0,1,2
270,Ruanda,Rwanda,África Oriental,2001,0,2.0,0.0,0.0,0.0,0.0,4461.007288904881,Angola;Equatorial Guinea,0,1,2
271,Ruanda,Rwanda,África Oriental,2002,0,3.0,1.0,1.0,7.0,7.0,4461.007288904881,Angola;Equatorial Guinea,0,1,2
272,Ruanda,Rwanda,África Oriental,2003,0,4.0,1.0,2.0,11.0,18.0,4461.007288904881,Angola;Equatorial Guinea,0,1,2
273,Ruanda,Rwanda,África Oriental,2004,0,5.0,2.0,4.0,14.0,32.0,4461.007288904881,Angola;Equatorial Guinea,0,1,2
274,Ruanda,Rwanda,África Oriental,2005,0,6.0,6.0,10.0,47.0,79.0,4461.007288904881,Angola;Equatorial Guinea,0,1,2
275,Ruanda,Rwanda,África Oriental,2006,0,7.0,12.0,22.0,67.0,146.0,4461.007288904881,Angola;Equatorial Guinea,0,1,2
276,Ruanda,Rwanda,África Oriental,2007,0,8.0,15.0,37.0,121.0,267.0,4461.007288904881,Angola;Equatorial Guinea,0,1,2
277,Ruanda,Rwanda,África Oriental,2008,1,9.0,28.0,65.0,148.0,415.0,4461.007288904881,Angola;Equatorial Guinea,0,1,2
278,Uganda,Uganda,África Oriental,1999,0,0.0,0.0,0.0,0.0,0.0,5043.787648681142,Angola;Equatorial Guinea,0,0,1
279,Uganda,Uganda,África Oriental,2000,0,1.0,0.0,0.0,0.0,0.0,5043.787648681142,Angola;Equatorial Guinea,0,0,1
280,Uganda,Uganda,África Oriental,2001,0,2.0,0.0,0.0,0.0,0.0,5043.787648681142,Angola;Equatorial Guinea,0,1,1
281,Uganda,Uganda,África Oriental,2002,0,3.0,1.0,1.0,5.0,5.0,5043.787648681142,Angola;Equatorial Guinea,0,1,1
282,Uganda,Uganda,África Oriental,2003,0,4.0,1.0,2.0,8.0,13.0,5043.787648681142,Angola;Equatorial Guinea,0,1,1
283,Uganda,Uganda,África Oriental,2004,0,5.0,2.0,4.0,11.0,24.0,5043.787648681142,Angola;Equatorial Guinea,0,1,1
284,Uganda,Uganda,África Oriental,2005,0,6.0,6.0,10.0,35.0,59.0,5043.787648681142,Angola;Equatorial Guinea,0,1,1
285,Uganda,Uganda,África Oriental,2006,0,7.0,12.0,22.0,60.0,119.0,5043.787648681142,Angola;Equatorial Guinea,0,0,1
286,Uganda,Uganda,África Oriental,2007,0,8.0,15.0,37.0,96.0,215.0,5043.787648681142,Angola;Equatorial Guinea,1,0,1
287,Uganda,Uganda,África Oriental,2008,1,9.0,28.0,65.0,128.0,343.0,5043.787648681142,Angola;Equatorial Guinea,1,1,1
288,Senegal,Senegal,África Ocidental,1999,0,0.0,0.0,0.0,0.0,0.0,1015.039351055657,Guinea-Bissau;Cape Verde,0,0,3
289,Senegal,Senegal,África Ocidental,2000,0,1.0,0.0,0.0,0.0,0.0,1015.039351055657,Guinea-Bissau;Cape Verde,0,0,3
290,Senegal,Senegal,África Ocidental,2001,0,2.0,0.0,0.0,0.0,0.0,1015.039351055657,Guinea-Bissau;Cape Verde,0,0,3
291,Senegal,Senegal,África Ocidental,2002,0,3.0,3.0,3.0,8.0,8.0,1015.039351055657,Guinea-Bissau;Cape Verde,0,0,3
292,Senegal,Senegal,África Ocidental,2003,0,4.0,5.0,8.0,14.0,22.0,1015.039351055657,Guinea-Bissau;Cape Verde,0,0,3
293,Senegal,Senegal,África Ocidental,2004,0,5.0,7.0,15.0,20.0,42.0,1015.039351055657,Guinea-Bissau;Cape Verde,0,0,3
294,Senegal,Senegal,África Ocidental,2005,1,6.0,20.0,35.0,54.0,96.0,1015.039351055657,Guinea-Bissau;Cape Verde,0,0,3
295,Sudão,Sudan,África do Norte,1999,0,0.0,0.0,0.0,0.0,0.0,6215.209037148388,Equatorial Guinea;Sao Tome and Principe,1,0,2
296,Sudão,Sudan,África do Norte,2000,0,1.0,0.0,0.0,0.0,0.0,6215.209037148388,Equatorial Guinea;Sao Tome and Principe,1,0,2
297,Sudão,Sudan,África do Norte,2001,0,2.0,0.0,0.0,0.0,0.0,6215.209037148388,Equatorial Guinea;Sao Tome and Principe,1,0,2
298,Sudão,Sudan,África do Norte,2002,0,3.0,0.0,0.0,6.0,6.0,6215.209037148388,Equatorial Guinea;Sao Tome and Principe,1,0,2
299,Sudão,Sudan,África do Norte,2003,0,4.0,0.0,0.0,10.0,16.0,6215.209037148388,Equatorial Guinea;Sao Tome and Principe,1,0,2
300,Sudão,Sudan,África do Norte,2004,0,5.0,0.0,0.0,14.0,30.0,6215.209037148388,Equatorial Guinea;Sao Tome and Principe,1,0,2
301,Sudão,Sudan,África do Norte,2005,0,6.0,0.0,0.0,42.0,72.0,6215.209037148388,Equatorial Guinea;Sao Tome and Principe,1,0,2
302,Sudão,Sudan,África do Norte,2006,0,7.0,1.0,1.0,73.0,145.0,6215.209037148388,Equatorial Guinea;Sao Tome and Principe,1,0,2
303,Sudão,Sudan,África do Norte,2007,0,8.0,9.0,10.0,117.0,262.0,6215.209037148388,Equatorial Guinea;Sao Tome and Principe,0,0,2
304,Sudão,Sudan,África do Norte,2008,0,9.0,4.0,14.0,142.0,404.0,6215.209037148388,Equatorial Guinea;Sao Tome and Principe,0,0,2
305,Sudão,Sudan,África do Norte,2009,0,10.0,4.0,18.0,133.0,537.0,6215.209037148388,Equatorial Guinea;Sao Tome and Principe,0,0,2
306,Sudão,Sudan,África do Norte,2010,1,11.0,6.0,24.0,138.0,675.0,6215.209037148388,Equatorial Guinea;Sao Tome and Principe,0,0,2
307,Tunísia,Tunisia,África do Norte,1999,0,0.0,0.0,0.0,0.0,0.0,7453.1039119267425,Equatorial Guinea;Guinea-Bissau,0,0,2
308,Tunísia,Tunisia,África do Norte,2000,0,1.0,0.0,0.0,0.0,0.0,7453.1039119267425,Equatorial Guinea;Guinea-Bissau,0,0,2
309,Tunísia,Tunisia,África do Norte,2001,0,2.0,0.0,0.0,0.0,0.0,7453.1039119267425,Equatorial Guinea;Guinea-Bissau,0,0,2
310,Tunísia,Tunisia,África do Norte,2002,0,3.0,0.0,0.0,6.0,6.0,7453.1039119267425,Equatorial Guinea;Guinea-Bissau,0,0,2
311,Tunísia,Tunisia,África do Norte,2003,0,4.0,0.0,0.0,10.0,16.0,7453.1039119267425,Equatorial Guinea;Guinea-Bissau,0,0,2
312,Tunísia,Tunisia,África do Norte,2004,0,5.0,0.0,0.0,14.0,30.0,7453.1039119267425,Equatorial Guinea;Guinea-Bissau,0,0,2
313,Tunísia,Tunisia,África do Norte,2005,0,6.0,0.0,0.0,40.0,70.0,7453.1039119267425,Equatorial Guinea;Guinea-Bissau,0,0,2
314,Tunísia,Tunisia,África do Norte,2006,1,7.0,1.0,1.0,68.0,138.0,7453.1039119267425,Equatorial Guinea;Guinea-Bissau,0,0,2
315,Zimbabue,Zimbabwe,África Oriental,1999,0,0.0,0.0,0.0,0.0,0.0,3082.2907055455003,Mozambique;Angola,0,0,2
316,Zimbabue,Zimbabwe,África Oriental,2000,0,1.0,0.0,0.0,0.0,0.0,3082.2907055455003,Mozambique;Angola,1,0,2
317,Zimbabue,Zimbabwe,África Oriental,2001,0,2.0,0.0,0.0,0.0,0.0,3082.2907055455003,Mozambique;Angola,1,0,2
318,Zimbabue,Zimbabwe,África Oriental,2002,0,3.0,1.0,1.0,7.0,7.0,3082.2907055455003,Mozambique;Angola,0,0,2
319,Zimbabue,Zimbabwe,África Oriental,2003,0,4.0,1.0,2.0,11.0,18.0,3082.2907055455003,Mozambique;Angola,0,0,2
320,Zimbabue,Zimbabwe,África Oriental,2004,0,5.0,2.0,4.0,14.0,32.0,3082.2907055455003,Mozambique;Angola,1,0,2
321,Zimbabue,Zimbabwe,África Oriental,2005,1,6.0,6.0,10.0,48.0,80.0,3082.2907055455003,Mozambique;Angola,1,1,2
